;;;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HCountry2Community;('DELETE_ELEMENT', 5) ; UnitCountry2Community;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;1.0;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842; ;1;0;1;0;0
HFather2Man;('ADD_CLASS', 'Woman', False, 1) ; UnitMother2Woman;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.13157894736842105;0.07894736842105263;0.9210526315789473;0.07894736842105263;0.07894736842105263;0.9210526315789473;0.07894736842105263; ;182;72;72;38;20,87912088
HFather2Man;('DELETE_ELEMENT', 5) ; UnitFather2Man;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.9473684210526316;0.5263157894736842;0.10526315789473684;0.9473684210526316;0.5263157894736842; ;254;0;144;110;43,30708661
HFather2Man;('DELETE_ELEMENT', 7) ; UnitFather2Man;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5526315789473684;0.5263157894736842;0.10526315789473684;0.05263157894736842;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.9736842105263157;0.5263157894736842;0.05263157894736842;0.9473684210526315;0.5; ;221;0;111;110;49,77375566
HFather2Man;('DELETE_ELEMENT', 7) ; UnitConnectFather;0.5263157894736842;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.5526315789473684;0.5263157894736842;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.5263157894736842;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.9473684210526316;0.5263157894736842;0.07894736842105263;0.9210526315789473;0.5; ;221;0;105;116;52,48868778
HFather2Man;('DELETE_EQUATION', 0) ; UnitFather2Man;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.9473684210526316;0.5263157894736842;0.10526315789473684;0.9473684210526316;0.5263157894736842; ;254;0;144;110;43,30708661
HFather2Man;('RENAME_CLASS', 7, 'Person') ; UnitFather2Man;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.5526315789473684;0.5263157894736842;0.10526315789473684;0.05263157894736842;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.9736842105263157;0.5263157894736842;0.05263157894736842;0.9473684210526315;0.5; ;255;0;145;110;43,1372549
HFather2Man;('RENAME_CLASS', 7, 'Person') ; UnitConnectFather;0.5263157894736842;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.5526315789473684;0.5263157894736842;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.5263157894736842;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.9473684210526316;0.5263157894736842;0.07894736842105263;0.9210526315789473;0.5; ;255;0;135;120;47,05882353
HFather2Man;('RENAME_ASSOC', 10, 'mothers') ; UnitMother2Woman;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.10526315789473684;0.07894736842105263;0.9473684210526316;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263; ;254;144;72;38;14,96062992
HFather2Man;('RENAME_ASSOC', 10, 'mothers') ; UnitConnectMother;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.10526315789473684;0.07894736842105263;0.9473684210526316;0.07894736842105263;0.07894736842105263;0.07894736842105263;0.07894736842105263; ;254;144;72;38;14,96062992
HFather2Man;('MODIFY_EQUATION', 0, ((7, 'fullName'), (3, 'firstName'))) ; UnitFather2Man;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.9473684210526316;0.5263157894736842;0.10526315789473684;0.9473684210526316;0.5263157894736842; ;254;0;144;110;43,30708661
HFather2Man;('MODIFY_EQUATION', 0, ((7, 'fullName'), (5, 'lastName'))) ; UnitFather2Man;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.9473684210526316;0.5263157894736842;0.10526315789473684;0.9473684210526316;0.5263157894736842; ;254;0;144;110;43,30708661
