;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
H02Package2ERModel--('ADD_CLASS', 'Class', True, 0) - ContractUnitR03;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111; ;1;0;1;0;=0* 100 / 1
H02Package2ERModel--('DELETE_ELEMENT', 4) - ContractUnitR02;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111; ;1;0;1;0;=0* 100 / 1
H02Package2ERModel--('DELETE_EQUATION', 0) - ContractUnitR02;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.5555555555555556;0.38888888888888884;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.5555555555555556;0.1111111111111111;1.0;0.5555555555555556; ;22;0;22;0;=0* 100 / 22
H03Class2EntityType--('DELETE_ELEMENT', 4) - ContractUnitR03;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.9444444444444444;0.5555555555555556;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6111111111111112;0.5555555555555556;0.1111111111111111;0.16666666666666666;0.16666666666666666; ;3;0;2;1;=1* 100 / 3
H03Class2EntityType--('DELETE_EQUATION', 0) - ContractUnitR03;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.5555555555555556;0.3333333333333333;0.2222222222222222;0.2222222222222222;0.5555555555555556;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.8888888888888888;0.5555555555555556;0.2222222222222222;0.8888888888888888;0.5555555555555556; ;22;0;21;1;=1* 100 / 22
H05aProperty2AttributeNoType--('DELETE_ELEMENT', 4) - ContractUnitR05a;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.5555555555555556;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.5555555555555556;0.1111111111111111;1.0;0.5555555555555556; ;31;0;16;15;=15* 100 / 31
H05aProperty2AttributeNoType--('DELETE_EQUATION', 2) - ContractUnitR05a;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.6111111111111112;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.7222222222222222;0.5555555555555556;0.33333333333333337;0.6666666666666666;0.5; ;22;0;7;15;=15* 100 / 22
H05aProperty2AttributeNoType--('DELETE_EQUATION', 3) - ContractUnitR05a;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.6111111111111112;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.7222222222222222;0.5555555555555556;0.33333333333333337;0.6666666666666666;0.5; ;22;0;7;15;=15* 100 / 22
H05aProperty2AttributeNoType--('RENAME_CLASS', 4, 'Feature') - ContractUnitR05a;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.5555555555555556;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.7777777777777778;0.5555555555555556;0.33333333333333337;0.7777777777777778;0.5555555555555556; ;29;0;14;15;=15* 100 / 29
H05bProperty2AttributeType--('DELETE_ELEMENT', 4) - ContractUnitR05b;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.5555555555555556;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.5555555555555556;0.1111111111111111;1.0;0.5555555555555556; ;31;0;16;15;=15* 100 / 31
H05bProperty2AttributeType--('DELETE_EQUATION', 2) - ContractUnitR05b;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.6111111111111112;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.7222222222222222;0.5555555555555556;0.33333333333333337;0.6666666666666666;0.5; ;22;0;7;15;=15* 100 / 22
H05bProperty2AttributeType--('DELETE_EQUATION', 3) - ContractUnitR05b;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.6111111111111112;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.7222222222222222;0.5555555555555556;0.33333333333333337;0.6666666666666666;0.5; ;22;0;7;15;=15* 100 / 22
H05bProperty2AttributeType--('RENAME_CLASS', 4, 'Feature') - ContractUnitR05b;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.5555555555555556;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.5555555555555556;0.33333333333333337;0.33333333333333337;0.33333333333333337;0.7777777777777778;0.5555555555555556;0.33333333333333337;0.7777777777777778;0.5555555555555556; ;29;0;14;15;=15* 100 / 29
