;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
H07Property2WeakReference--('RENAME_CLASS', 4, 'Reference') - ContractUnitR07;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;1.0;1.0; ;22;0;12;10;=10* 100 / 22
H07Property2WeakReference--('RENAME_CLASS', 4, 'Feature') - ContractUnitR07;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;1.0;1.0; ;19;0;9;10;=10* 100 / 19
H08Property2StrongReference--('DELETE_ELEMENT', 4) - ContractUnitR08;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.4444444444444444;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.1111111111111111;1.0;1.0; ;21;0;11;10;=10* 100 / 21
H08Property2StrongReference--('DELETE_EQUATION', 2) - ContractUnitR08;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;1.0;1.0; ;22;0;12;10;=10* 100 / 22
H08Property2StrongReference--('RENAME_CLASS', 4, 'Feature') - ContractUnitR08;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;1.0;1.0; ;19;0;9;10;=10* 100 / 19
H08Property2StrongReference--('RENAME_CLASS', 4, 'Reference') - ContractUnitR08;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;1.0;1.0; ;22;0;12;10;=10* 100 / 22
H08Property2StrongReference--('RENAME_CLASS', 4, 'Feature') - ContractUnitR08;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;1.0;1.0;0.5555555555555556;1.0;1.0; ;19;0;9;10;=10* 100 / 19
H09ConnectClass--('DELETE_ELEMENT', 5) - ContractUnitR09;1.0;0.2222222222222222;0.2222222222222222;0.2222222222222222;1.0;1.0;0.3333333333333333;0.2222222222222222;0.2222222222222222;1.0;0.2222222222222222;0.2222222222222222;0.2222222222222222;1.0;1.0;0.2222222222222222;1.0;1.0; ;85;0;42;43;=43* 100 / 85
H09ConnectClass--('DELETE_ELEMENT', 5) - ContractUnitR02;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111; ;85;43;21;21;=21* 100 / 85
H09ConnectClass--('DELETE_ELEMENT', 6) - ContractUnitR09;1.0;0.2222222222222222;0.2222222222222222;0.2222222222222222;1.0;1.0;0.4444444444444444;0.2222222222222222;0.2222222222222222;1.0;0.2222222222222222;0.2222222222222222;0.2222222222222222;1.0;1.0;0.2222222222222222;1.0;1.0; ;65;0;22;43;=43* 100 / 65
