;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;;Num PCs;Sat;NonSat;Und;Percent-Und
HMother2Woman--('RENAME_CLASS', 7, 'Person') - Pos_FourMembers;0.526315789;0.236842105;0.236842105;0.236842105;0.552631579;0.526315789;0.342105263;0.236842105;0.236842105;0.526315789;0.236842105;0.236842105;0.236842105;0.789473684;0.526315789;0.236842105;0.763157895;0.5; ;255;0;21;234;91.76470588
HMother2Woman--('RENAME_CLASS', 7, 'Person') - Pos_MotherFather;0.263157895;0.236842105;0.710526316;0.131578947;0.289473684;0.263157895;0.131578947;0.131578947;0.131578947;0.263157895;0.131578947;0.131578947;0.657894737;0.894736842;0.842105263;0.710526316;0.131578947;0.236842105; ;255;42;30;183;71.76470588
HMother2Woman--('MODIFY_EQUATION', 0, ((7, 'fullName'), (3, 'firstName'))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HMother2Woman--('MODIFY_EQUATION', 0, ((7, 'fullName'), (5, 'lastName'))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HMother2Woman--('MODIFY_EQUATION', 0, ((7, 'fullName'), ('concat', ((5, 'lastName'), (3, 'firstName'))))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HMother2Woman--('MODIFY_EQUATION', 0, ((7, 'fullName'), ('concat', ((5, 'lastName'), (5, 'lastName'))))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HMother2Woman--('MODIFY_EQUATION', 0, ((7, 'fullName'), ('concat', ((3, 'firstName'), (3, 'firstName'))))) - Pos_MotherFather;0.263157895;0.263157895;0.684210526;0.157894737;0.263157895;0.263157895;0.157894737;0.157894737;0.157894737;0.263157895;0.157894737;0.157894737;0.684210526;0.894736842;0.842105263;0.684210526;0.157894737;0.263157895; ;254;42;30;182;71.65354331
HDaughter2Woman--('ADD_CLASS', 'Parent', True, 0) - Pos_FourMembers;0.605263158;0.236842105;0.236842105;0.236842105;0.605263158;0.605263158;0.236842105;0.236842105;0.236842105;0.605263158;0.236842105;0.236842105;0.236842105;0.815789474;0.736842105;0.236842105;0.236842105;0.605263158; ;358;2;40;316;88.26815642
HDaughter2Woman--('DELETE_ELEMENT', 7) - Pos_FourMembers;0.526315789;0.236842105;0.236842105;0.236842105;0.552631579;0.526315789;0.342105263;0.236842105;0.236842105;0.526315789;0.236842105;0.236842105;0.236842105;0.789473684;0.526315789;0.236842105;0.763157895;0.5; ;213;0;21;192;90.14084507
HDaughter2Woman--('RENAME_CLASS', 7, 'Person') - Pos_FourMembers;0.526315789;0.236842105;0.236842105;0.236842105;0.552631579;0.526315789;0.342105263;0.236842105;0.236842105;0.526315789;0.236842105;0.236842105;0.236842105;0.789473684;0.526315789;0.236842105;0.763157895;0.5; ;255;0;21;234;91.76470588
HSon2Man--('ADD_CLASS', 'Parent', True, 0) - Pos_FourMembers;0.526315789;0.236842105;0.236842105;0.236842105;0.526315789;0.526315789;0.289473684;0.236842105;0.236842105;0.526315789;0.236842105;0.236842105;0.236842105;0.815789474;0.526315789;0.236842105;0.815789474;0.526315789; ;358;0;42;316;88.26815642
HSon2Man--('DELETE_ELEMENT', 7) - Pos_FourMembers;0.526315789;0.236842105;0.236842105;0.236842105;0.552631579;0.526315789;0.342105263;0.236842105;0.236842105;0.526315789;0.236842105;0.236842105;0.236842105;0.789473684;0.526315789;0.236842105;0.763157895;0.5; ;213;0;21;192;90.14084507
HSon2Man--('RENAME_CLASS', 7, 'Person') - Pos_FourMembers;0.526315789;0.236842105;0.236842105;0.236842105;0.552631579;0.526315789;0.342105263;0.236842105;0.236842105;0.526315789;0.236842105;0.236842105;0.236842105;0.789473684;0.526315789;0.236842105;0.763157895;0.5; ;255;0;21;234;91.76470588
HCity2TownHall--('ADD_CLASS', 'Country', True, 0) - Pos_AssocCity;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;170;16;84;31.11111111
HCity2TownHall--('ADD_CLASS', 'Country', True, 0) - Pos_TownHallComm;0.973684211;0.815789474;0.973684211;0.815789474;0.815789474;0.973684211;0.815789474;0.815789474;0.815789474;0.973684211;0.973684211;0.815789474;0.815789474;0.078947368;0.789473684;0.973684211;0.815789474;0.815789474; ;270;238;16;16;5.925925926
